flag,algorithm,param,time(s),memory(KB)
VARN,DFSI,a,0.00000,3840
VARN,DFSI,b,0.00000,4096
VARN,DFSI,c,0.01000,4096
VARN,DFSI,d,3.39000,23296
VARN,DFSR,a,0.00000,3712
VARN,DFSR,b,0.00000,3968
VARN,DFSR,c,0.00000,3840
VARN,DFSR,d,0.73000,13440
VARN,BFS,a,0.00000,3840
VARN,BFS,b,0.00000,3968
VARN,BFS,c,0.01000,5248
VARN,BFS,d,0.39000,10624
